	lower_bin_thresh	upper_bin_thresh	bin_prefix	bbox_AP	bbox_AP50	bbox_AP75	bbox_APs	bbox_APm	bbox_APl	bbox_AR@1	bbox_AR@10	bbox_AR	bbox_ARs	bbox_ARm	bbox_ARl	segm_AP	segm_AP50	segm_AP75	segm_APs	segm_APm	segm_APl	segm_AR@1	segm_AR@10	segm_AR	segm_ARs	segm_ARm	segm_ARl	total_obj	small_obj	med_obj	large_obj
0	0.0000	0.1000	0.0000-0.1000	0.014273732224594821	0.01784921407043106	0.01583485828564768	0.03299075784087082	0.04547743732298134	0.030030372323834563	0.3001430227506953	0.5262022925629702	0.5602236476408472	0.36078466927809033	0.6226776475158828	0.690775138272261	0.01189684662052284	0.01731585757049714	0.01147648558822444	0.01364488597229826	0.02707677624527628	0.03355346200563716	0.2663959316635147	0.4523640283949747	0.4779090948681741	0.2818004517412412	0.5068399378399379	0.6356467963338168	25632.0	11902.0	9252.0	4478.0
1	0.1000	0.2000	0.1000-0.2000	0.018442359948318682	0.024923707122583717	0.02119033298166206	0.05492309084048548	0.06991270931481716	0.036890739818443374	0.3459727392865318	0.5186842380181332	0.5412366139180225	0.3840346502823059	0.5331830373034034	0.7142555298502666	0.0173846195235015	0.02421540653318472	0.01985406570611132	0.02574747722401346	0.03970962015083836	0.0426476566435221	0.31183402864479837	0.45108873414456135	0.4660159648431055	0.2937480976287455	0.44823875631106747	0.6585542017436754	1909.0	138.0	384.0	1387.0
2	0.2000	0.3000	0.2000-0.3000	0.026447038180378878	0.033542094469570204	0.03012162858132214	0.042981729588944015	0.04970371529587016	0.0479215830203383	0.3595502612323265	0.531219707225142	0.5490857288846419	0.36763547273982045	0.5695423907815212	0.721223183842177	0.02473308905631342	0.03249312311159812	0.03038280074959774	0.021106636514242598	0.026337612763602858	0.05180164880144298	0.34191931548725024	0.48819527282299024	0.5017798006140397	0.28041245111571195	0.5151334933182758	0.6933902090789964	1488.0	136.0	330.0	1022.0
3	0.3000	0.4000	0.3000-0.4000	0.02132225445298202	0.027363733131329497	0.0239187446604702	0.03364681487605324	0.0462230901303354	0.051853217464588	0.35420321481167105	0.5455216554212639	0.5648929794998057	0.38126586352244246	0.5818984979666798	0.7352898209198209	0.02124188670272766	0.02667588842600586	0.0231416117869899	0.01818376862423626	0.031283087936116005	0.0583219351373197	0.32803107351012495	0.49824208650199636	0.5115862976985116	0.3094822074124705	0.5087027417027417	0.7183331298331298	1128.0	118.0	299.0	711.0
4	0.4000	0.5000	0.4000-0.5000	0.0221647478776754	0.02918644600001778	0.02534399110567856	0.03517912385535456	0.06529473147268258	0.044271108355676166	0.36762050187432926	0.5410113516135523	0.5719392009637236	0.359416622427492	0.5897094440647072	0.7569652597402596	0.02076745995773552	0.02890588483948664	0.02380774545478944	0.01776496639551274	0.04625988023496795	0.06292509983106756	0.3311334344878209	0.48412418469533797	0.5082187307290145	0.2781050370724284	0.5373334535834535	0.7136577922077922	923.0	114.0	292.0	517.0
5	0.5000	0.6000	0.5000-0.6000	0.02811667840969782	0.03315264622650778	0.03083603571965778	0.0778299080205196	0.07118273276053408	0.0714045519792585	0.35529332946110437	0.5617868448048116	0.5726277660674081	0.4179138888888888	0.5735281309079936	0.7165395751908911	0.023526888023524282	0.03134236970660444	0.027559056015907402	0.031040944773540136	0.03665442744420598	0.07657740668673982	0.3154811917409104	0.48177919067292463	0.48754832291891115	0.3224629629629629	0.48961360150147326	0.6551790095869043	684.0	111.0	265.0	308.0
6	0.6000	0.7000	0.6000-0.7000	0.019678437386775778	0.025119565816403445	0.022553225423996043	0.04697858371936768	0.07221665548943597	0.035970765110625844	0.37583511871722486	0.546172002960949	0.5681687110512701	0.3985443528253051	0.5973689056041998	0.7372743270947606	0.0184259688717454	0.02495396998727188	0.022066311056491823	0.02163204307229896	0.05971735584134051	0.04424176775454172	0.36104866023672494	0.5048613461975979	0.5214622039731566	0.300780336242241	0.5594297771944831	0.7294519777321635	610.0	135.0	273.0	202.0
7	0.7000	0.8000	0.7000-0.8000	0.0270420405771389	0.03194971651880647	0.029555445667633663	0.0494432904302142	0.06039628248831976	0.049095522698563245	0.3328970172491722	0.557108339414583	0.5767426128750383	0.3879720260246576	0.591661020139281	0.7301921215007902	0.02509217889819368	0.031814394260249124	0.029326504151068557	0.024312339978073118	0.034001045055515676	0.05295876404919188	0.31637468235477584	0.5107284251940154	0.5282217350242818	0.30298443077390447	0.5706466842336407	0.7094242395375522	560.0	126.0	276.0	158.0
8	0.8000	0.9000	0.8000-0.9000	0.01948797715414318	0.024359820715550557	0.020555542916955737	0.0347976539678217	0.07442263290567817	0.03439826696729514	0.34881302529791947	0.5628797296902602	0.5904551392302817	0.39183380378555815	0.6040198913261114	0.7588168267306923	0.017862330436399683	0.02442988861634128	0.01803736495636844	0.012240727905668219	0.044956014852702356	0.044344856275082736	0.3217237997523583	0.5043358353446494	0.5289691442200226	0.3037596094613638	0.535763140633954	0.7458372348939575	485.0	155.0	258.0	72.0
9	0.9000	1.0000	0.9000-1.0000	0.03035038192146634	0.03614764323281694	0.03425760317616862	0.043165717828710606	0.06208675306646855	0.06896168877577886	0.3770956170756294	0.5523900697961539	0.585506917523159	0.37447270638718005	0.6344556072893669	0.7299586466165413	0.030783475209085275	0.0360605087855704	0.03372453652514369	0.021729122316112744	0.04043516699888574	0.07567283523443225	0.37485881094110757	0.5415817367237554	0.5667997039590847	0.31978635034556085	0.590004071210593	0.7630931495405179	3374.0	2398.0	937.0	39.0
