	lower_bin_thresh	upper_bin_thresh	bin_prefix	bbox_AP	bbox_AP50	bbox_AP75	bbox_APs	bbox_APm	bbox_APl	bbox_AR@1	bbox_AR@10	bbox_AR	bbox_ARs	bbox_ARm	bbox_ARl	segm_AP	segm_AP50	segm_AP75	segm_APs	segm_APm	segm_APl	segm_AR@1	segm_AR@10	segm_AR	segm_ARs	segm_ARm	segm_ARl	total_obj	small_obj	med_obj	large_obj
0	0.0000	0.1000	0.0000-0.1000	0.0155160400937491	0.020814985180870937	0.0167900237165205	0.02988438287614298	0.038715451305372864	0.033337692844388506	0.2656515796104192	0.4929905999690599	0.5230682067816323	0.3566965772502868	0.5224626505102786	0.6704040847525695	0.014481235721968041	0.01994593738554578	0.01580053101141164	0.01081894574647182	0.02025702616126584	0.03950757012212746	0.2381826609850124	0.43939532694341316	0.462766510269965	0.2772195658490909	0.4710781313516869	0.619037562234532	23040.0	10918.0	8422.0	3700.0
1	0.1000	0.2000	0.1000-0.2000	0.02239403692195922	0.030091600779468597	0.025239478053586985	0.049191699467648876	0.04910311116499818	0.045196557321311774	0.33861856505103594	0.5107418869271594	0.5418737709352215	0.3875829711211229	0.5404814458706221	0.7076881541963036	0.02080719958128454	0.02821433008101406	0.02296792995748298	0.023427636108765144	0.027772171082066782	0.05522266089213586	0.31554068461411544	0.4544757931747597	0.48586544558366074	0.32634704676048126	0.4732366932999305	0.6715178390770709	1849.0	167.0	436.0	1246.0
2	0.2000	0.3000	0.2000-0.3000	0.03290133019171924	0.04164366227196888	0.037618484255409416	0.07371990348531834	0.0823390974215874	0.06081102973211968	0.3755591346494673	0.5252396701439448	0.5576007394449503	0.3867558950598579	0.5393704864528395	0.7128536515684643	0.031305059658186876	0.0411676119810082	0.03490295965210738	0.0323097159671534	0.05299812475429674	0.0682928486386417	0.3503528986739051	0.47954932656291216	0.5091093340883823	0.3280239425700323	0.4850427886019273	0.6747276479578985	1543.0	153.0	376.0	1014.0
3	0.3000	0.4000	0.3000-0.4000	0.03160472040839894	0.040093952938822605	0.037023136348608904	0.031516404866466216	0.0881385911171208	0.06086923625548278	0.36090711845020407	0.5693036661550033	0.5955775228105262	0.43315153813698704	0.6061368530713309	0.6958271889600862	0.030860454533773042	0.0395542503385447	0.03442764583805936	0.020768690560625504	0.05352881678641752	0.06618189960415502	0.3424361967829359	0.5170135738228417	0.5377688170760145	0.3801577120021392	0.5218289617833071	0.6656501870419878	1331.0	132.0	322.0	877.0
4	0.4000	0.5000	0.4000-0.5000	0.03145266287271509	0.04135926691714166	0.03102023915956904	0.06056519805214108	0.052796234482640356	0.06123975504756322	0.3854210137505859	0.5546341148119088	0.5703644458894098	0.38760879187237884	0.5420897874321124	0.7231924609481785	0.029370155034548918	0.040796405450675415	0.02998893981688658	0.04303875254703672	0.03711196356227052	0.06621206770641883	0.36133034742732817	0.5067733859209597	0.5221465254277528	0.3097131701885706	0.47388777664923304	0.7141572964732358	1081.0	138.0	282.0	661.0
5	0.5000	0.6000	0.5000-0.6000	0.030260160529050617	0.041109747153236544	0.037754294488256276	0.06683934507530434	0.04991912198407177	0.052716733223179955	0.3317035614684724	0.5311104480570064	0.5472909422901306	0.38906255147570934	0.5540737520540352	0.7086744380330672	0.02824797768306026	0.039826785995911676	0.03579580365167214	0.03713098504864688	0.03572535421245122	0.07362370304256272	0.31223272192095275	0.4875750203108155	0.5014261854637599	0.30614491440544067	0.5037584626866224	0.6757587248306343	913.0	130.0	302.0	481.0
6	0.6000	0.7000	0.6000-0.7000	0.03049307662906884	0.039664094946213216	0.03387955502557422	0.0594128417440594	0.06960025598990795	0.07366833209169545	0.35263079340166925	0.5179847160557915	0.5423271828441225	0.35258261894372994	0.5729661295198978	0.7302719483441411	0.0283981995196651	0.03761572042999858	0.031378947391841785	0.02182086086152816	0.0369032019054992	0.08081676924701814	0.3169282631046924	0.45803583609550114	0.47461099549202174	0.2718192252081141	0.49544281530037343	0.6925934632577361	777.0	109.0	323.0	345.0
7	0.7000	0.8000	0.7000-0.8000	0.02179733723065346	0.027568299424891463	0.02364437375093814	0.03956261423724744	0.07016175893722526	0.0443786079734018	0.3659046048093469	0.5456928966811924	0.569571054217463	0.42887034051347417	0.5803961250729301	0.7162258364556876	0.0201110730694178	0.026668065509796383	0.0227609408657294	0.0134277050973934	0.04765288519203834	0.05018230691219516	0.3460613822676649	0.4853562242934119	0.5054292237798113	0.30137756169397206	0.5340558611638018	0.7079696465790543	711.0	147.0	304.0	260.0
8	0.8000	0.9000	0.8000-0.9000	0.02646959537861866	0.03445045497331756	0.030509028769995783	0.0548870754296132	0.07639033899774923	0.04916715807600058	0.32464951896274197	0.5163551542716706	0.530299936118297	0.33249371883770856	0.5759567979593276	0.6910400078650079	0.02405101709244552	0.034163473582525875	0.02545547612859948	0.01702689870977876	0.05315130055061588	0.058963522528180455	0.30351477017118556	0.46946383905671246	0.48032266072926966	0.2320072507687597	0.526287340676131	0.7049092378092379	662.0	145.0	341.0	176.0
9	0.9000	1.0000	0.9000-1.0000	0.01859063551225144	0.025733616488084244	0.020509425685825797	0.04413946671350506	0.06864837875043553	0.04291409113803409	0.32128162992405007	0.5222401293598924	0.5510692833481915	0.32603680762405574	0.6139602395597505	0.7071438248006301	0.01817365545004518	0.025638499452329842	0.019601783322098963	0.024753238189627418	0.04038954838361409	0.06710132881971342	0.3179615590984842	0.5087971964925578	0.5304602683913328	0.2766469674340034	0.5795934598107608	0.7288368102254479	4886.0	3294.0	1459.0	133.0
