	lower_bin_thresh	upper_bin_thresh	bin_prefix	bbox_AP	bbox_AP50	bbox_AP75	bbox_APs	bbox_APm	bbox_APl	bbox_AR@1	bbox_AR@10	bbox_AR	bbox_ARs	bbox_ARm	bbox_ARl	segm_AP	segm_AP50	segm_AP75	segm_APs	segm_APm	segm_APl	segm_AR@1	segm_AR@10	segm_AR	segm_ARs	segm_ARm	segm_ARl	total_obj	small_obj	med_obj	large_obj
0	0.0000	0.1000	0.0000-0.1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14430.0	7358.0	5379.0	1693.0
1	0.1000	0.2000	0.1000-0.2000	-0.0023972583202784194	-0.0019566997118130036	-0.0032202534113497	0.010984235141827897	0.025475095041547526	-0.009757115876304394	0.030577676872141524	0.021335448399854184	0.01942748216085266	0.030619145977867496	0.041797930643504455	0.010671431806374143	-0.0035995354948462604	-0.002489105881802657	-0.0039733726695059795	0.0016162004870859201	0.0045090568388471	-0.014557535235089562	0.016953236941834593	-0.0021783512571557084	-0.004218958622257685	0.015125624356849915	0.05051963935458262	-0.04458312112567431	1194.0	189.0	446.0	559.0
2	0.2000	0.3000	0.2000-0.3000	0.0005297538423013996	0.0005440705261651815	0.0010570736583605002	0.006149969642601862	-0.020446586249132447	0.00042774877962043975	0.020624180369170186	0.024539708172398034	0.027835147191792975	-0.0011943257804225005	0.018024302493996114	0.0055880005549613365	0.001035524686300221	0.0001491928039450592	0.0011118898747560606	0.0017519822310968188	-0.0018835507902450754	0.007260957009060411	0.021769283598738337	0.025849887893390877	0.028396365724773054	-0.009761282036779846	-0.0017034918048315917	0.036839105978722086	1225.0	173.0	408.0	644.0
3	0.3000	0.4000	0.3000-0.4000	0.00109309970220298	0.0012008119615195198	0.0005239401232385588	0.006611688524673184	0.008634496618853703	-4.43564784970811e-05	0.017285240897463305	0.019140038900186118	0.021260708668026818	0.02822143831561154	-0.018135968445278094	0.00025180606751540324	0.0008883432897639383	0.0018046276670910383	6.233125748558721e-06	-0.002907930383058679	0.0011515671298789193	-0.004821591153651751	0.018390178977081256	0.01891898573962081	0.016414998402812464	0.017772042769356795	-0.014375021458547688	-0.012548780328105247	1318.0	137.0	361.0	820.0
4	0.4000	0.5000	0.4000-0.5000	0.00948552042738094	0.01134296704989906	0.012730343561766059	-0.011511258479447523	0.02472543471076745	0.015239114821622664	0.03191221759615043	0.02925117394731891	0.041266984102261206	0.05735462418318843	0.03535088500466549	0.08893778622745196	0.009201399527569886	0.010768741997758059	0.01102954776150032	-0.00034443637715394007	0.01834127920579292	0.01524621878954574	0.03288302478046623	0.02676110145369398	0.03708527382317589	0.044604115751841145	0.013565947905641251	0.09912150498864092	1385.0	142.0	370.0	873.0
5	0.5000	0.6000	0.5000-0.6000	-0.0044506429535024795	-0.004416734804129619	-0.005385607908015899	-0.00798479444109396	-0.029071722969825235	-0.003017457419960172	-0.0028667282346956924	-0.012070645806165015	-0.021382695586632083	-0.07743565130362656	-0.04246685534175115	-0.010707510465528647	-0.003469003747923985	-0.004092922379947218	-0.003405492681816478	0.00047760353633572025	-0.021232454641224904	-0.0026038038571272945	0.0037219900527278027	-0.012189590954805485	-0.01850529729767103	-0.041656384729110124	-0.04522334106289774	-0.022866255778002165	1334.0	141.0	336.0	857.0
6	0.6000	0.7000	0.6000-0.7000	0.007320964028767377	0.007982282564729059	0.007379566347342201	-0.0035868275330045805	0.017672868425253264	0.005248808797660674	-0.01809726410819304	-0.0017736750759704822	-0.0032268386712789865	-0.009246928244797947	0.01725170472574089	-0.0043025342051447035	0.00699886242405624	0.008870953486259485	0.004365657571943418	0.00010354476960440029	0.01214456234486026	0.00500375160118019	-0.015692809097678145	0.005883686513778963	-0.0003645845918880952	-0.029333384545445942	0.04011287947998901	0.004679978174119137	1334.0	135.0	382.0	817.0
7	0.7000	0.8000	0.7000-0.8000	-0.004196629534955337	-0.0016080012673770974	-0.0034535543622393194	0.037467735806190554	0.0005140129410684535	-0.0011585357699476634	0.00023120862544415144	-0.014272555639892492	-0.013680043207159098	0.05817386664025789	-0.0108967798616606	-0.01923672598322612	-0.006196169811434501	-0.003860212006156223	-0.005674263873181241	0.011108812841344858	0.00018025929716768488	0.0006046674104238023	-0.009583920496317233	-0.02050627575021824	-0.015202781550468614	0.03782554932942442	-0.027355962372865666	0.004117243982282526	1267.0	149.0	370.0	748.0
8	0.8000	0.9000	0.8000-0.9000	-0.0020878334216922825	-0.004707308741785356	-0.003549421727549882	-0.027406827492428353	-0.00720827408178968	0.0007449762544556801	0.008376350648248515	0.010199064173165628	0.004487931833631387	-0.023119294577854443	0.01819222711383861	0.010450849052771605	2.986354616006312e-05	-0.0031971232712726012	0.0005518038143190428	-0.010855610758436699	-0.0037289043987855583	0.0023151809415089958	0.01713185945734033	0.018679890609808625	0.014130824593329983	-0.009544196522221535	0.034681622276459795	0.003392227272892012	1321.0	173.0	458.0	690.0
9	0.9000	1.0000	0.9000-1.0000	-0.0020406576209955375	-0.0036191026189661205	-0.00125360919740386	-0.0023252878955789813	0.0016668974267374029	-0.005376643895652344	-0.025535218578965485	-0.015129699316412615	-0.014880381732879533	-0.02699120849272077	0.02254809212298381	-0.014418045795473011	-0.0017078252386037024	-0.0019335200298178437	-2.2259195060461007e-05	0.004805501049641361	0.0002333731027832943	-0.002736620814659453	-0.02416203062683206	-0.0038466528376324693	-0.00027365899417802764	-0.005367542554320634	0.025639997715439677	0.008326330066412924	11996.0	6745.0	4060.0	1191.0
