	lower_bin_thresh	upper_bin_thresh	bin_prefix	bbox_AP	bbox_AP50	bbox_AP75	bbox_APs	bbox_APm	bbox_APl	bbox_AR@1	bbox_AR@10	bbox_AR	bbox_ARs	bbox_ARm	bbox_ARl	segm_AP	segm_AP50	segm_AP75	segm_APs	segm_APm	segm_APl	segm_AR@1	segm_AR@10	segm_AR	segm_ARs	segm_ARm	segm_ARl	total_obj	small_obj	med_obj	large_obj
0	0.0000	0.1000	0.0000-0.1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18257.0	9033.0	6761.0	2463.0
1	0.1000	0.2000	0.1000-0.2000	0.006027853369892679	0.00982269237420438	0.008765714240552962	0.009794316209116902	0.026350800550645963	0.007751649318598841	0.06455972050202169	0.06729180477747848	0.06796210674034964	0.04477291677825615	0.0910518991441619	0.1028707976567046	0.004311115232182959	0.009933998447046177	0.0032975654657481993	0.0031298899067914803	0.01767933000342892	0.0036959009278871996	0.06092268504963777	0.06058755242468494	0.05734933088201449	0.040965034821707894	0.08493400921428004	0.08118143657818877	1407.0	170.0	453.0	784.0
2	0.2000	0.3000	0.2000-0.3000	-0.0031173882441578576	-0.0032984363858088415	-0.006737294251712982	0.010411538576180683	0.01195265573913707	-0.007830477024405563	0.04106019782909928	0.043333284364586666	0.05064409954359772	0.060313734008545686	0.045874171413805453	0.0035001922545054853	-0.0015794714643403186	-0.002561164160697557	-0.0027957057068850374	0.003494830675132719	0.010808869848821862	-0.005474155154407159	0.03306642422039466	0.035321780464276475	0.03765400338510483	0.02207764204505036	0.03915137450372408	0.016856948378190406	1514.0	142.0	400.0	972.0
3	0.3000	0.4000	0.3000-0.4000	0.0042773799959584784	0.004341304617775862	0.006700285074106881	-0.002710156163073945	-0.004181428288027311	0.011809393033907739	0.016466034766115578	-0.0056383651517951106	-0.010609261772580869	-0.017171044993406326	-0.037138668366491934	0.057025687480660725	0.004585716343062823	0.00409336792775114	0.006380213371980999	0.002020013716058762	-0.014152936110292384	0.012812878605459339	0.014855832294975224	0.001876947607345747	0.0018348636684496489	0.012266521923698995	-0.04994558265201976	0.05817790224732294	1359.0	128.0	324.0	907.0
4	0.4000	0.5000	0.4000-0.5000	0.002646514864226162	0.0040755360337771	0.0013473861510387014	0.030482098997139318	-0.0009373112437838435	-0.0013074726611315562	-0.005137982526728868	0.0030658304435559613	0.005358200068107777	0.011512437766459438	0.056953864559991296	-0.060251958088226476	0.0026328282465321352	0.0036052683219993976	0.0037110860910571433	0.006064047688935977	0.01424891511843454	-0.0013198767716672763	0.0066675684666100965	-0.0029705468079161967	-0.0013644109826386752	-0.02901736850371954	0.0555172277379945	-0.03260586391774123	1340.0	142.0	378.0	820.0
5	0.5000	0.6000	0.5000-0.6000	0.01112689403046956	0.014117184159198895	0.01484192540790142	-0.010250243547603594	0.026520086532146943	0.019131264369234575	0.04139891455940642	0.025763747544729765	0.02204181718267939	0.05781196986102169	-0.0326504515180705	0.04062374262959878	0.010082706722096501	0.014356223989029263	0.012684207404555177	-0.0030751963781447157	0.005005084308164043	0.014568904873909466	0.029337076695130915	0.024509529827288823	0.022377782480338948	0.043866782409899496	-0.029349340618928632	0.031064485015942833	1255.0	138.0	327.0	790.0
6	0.6000	0.7000	0.6000-0.7000	-0.0031093740158616157	-0.0027493180843755904	-0.0056341530597264836	-0.019070635519923683	-0.01061205323586524	0.007955123375145513	-0.03409417625479477	-0.03844358789414193	-0.0414026904864398	-0.10187998610397846	-0.0017138419331043098	-0.007422302163812455	-0.0018722457201330797	-0.002646252119044526	-0.005404427103332901	-0.006248661972834642	0.0013330508766863022	0.015969502986885223	-0.01059952319825902	-0.00956828753619432	-0.010784462247711235	-0.05518304664032439	0.03951686487551409	0.02148455440032815	1113.0	146.0	336.0	631.0
7	0.7000	0.8000	0.7000-0.8000	-0.0005001988924949047	-0.002117271490828923	0.00037464944956934476	-0.0009960224894291214	-0.003343442426134935	0.004231656488493135	0.004905276671656467	0.03342976616155224	0.03262348622435096	0.058611737371755276	0.046634715660415826	0.00404902976418664	-0.0007229107600209006	-0.002314612797395532	0.00114283720459242	-0.002392612742493261	-0.008600565857813304	0.007333853828894954	0.004780909694180269	0.03340770848330116	0.032879020003938886	0.08209916879940432	0.013924974664737466	0.0029658564823681344	1094.0	147.0	392.0	555.0
8	0.8000	0.9000	0.8000-0.9000	-0.004453087683859078	-0.004837869283200465	-0.004130058325300584	0.001182598986919161	0.03152872568662225	-0.019838610496203085	-0.011498956473621758	-0.03224022989048364	-0.028258054965472124	-0.037511416752493754	-0.004916722228823001	0.036808086503484216	-0.004677579020894641	-0.00416787417658112	-0.004404142489751857	0.0021238712352848405	0.015605098762859662	-0.025076877104979182	-0.01748572086743952	-0.03717366736632316	-0.036147115315144585	-0.06637771543951403	0.000597802097737743	0.03440660925754413	1002.0	148.0	425.0	429.0
9	0.9000	1.0000	0.9000-1.0000	0.0040565381786823625	0.004886065453878145	0.005315415867274624	0.006644318443838126	-0.02823892007347322	0.005784500584084709	0.011016040130322646	0.026628017767123424	0.027937376402823177	0.025641105015735133	0.01763244085036919	-0.01894179883687097	0.005586494736869466	0.005127366974729895	0.004611195126553162	0.012956414036169484	-0.009282795800228616	0.01377332231016639	0.01699966316083354	0.04035224728340786	0.043495475175427956	0.03463142008225363	0.05123189387365629	-0.00920035793812679	8458.0	5143.0	2773.0	542.0
